beta  ances 
0.223 0.378
0.235 0.383
0.232 0.379
0.230 0.379
0.230 0.377
0.234 0.371
0.235 0.372
0.234 0.368
0.234 0.368
0.235 0.369
0.234 0.369
0.234 0.367
0.235 0.367
0.235 0.367
0.234 0.367
0.234 0.366
0.234 0.366
0.234 0.368
0.233 0.367
0.233 0.366
0.232 0.367
0.232 0.366
0.233 0.366
0.232 0.366
0.233 0.366
0.234 0.366
0.233 0.365
0.233 0.366
0.232 0.365
0.232 0.365
0.232 0.366
0.233 0.365
0.234 0.366
0.234 0.366
0.233 0.366
0.234 0.366
0.234 0.366
0.234 0.366
0.233 0.366
0.234 0.366
0.234 0.366
0.233 0.366
0.234 0.366
0.233 0.367
0.233 0.367
0.233 0.367
0.233 0.367
0.233 0.367
0.234 0.367
