beta  ances 
0.212 0.444
0.219 0.443
0.215 0.443
0.216 0.446
0.214 0.446
0.214 0.445
0.215 0.444
0.216 0.445
0.215 0.443
0.216 0.445
0.217 0.447
0.218 0.447
0.217 0.448
0.217 0.449
0.217 0.448
0.217 0.448
0.216 0.449
0.215 0.447
0.215 0.447
0.216 0.446
0.215 0.446
0.215 0.446
0.215 0.446
0.214 0.445
0.214 0.446
0.214 0.446
0.214 0.445
0.213 0.446
0.214 0.445
0.214 0.445
0.214 0.445
0.214 0.445
0.214 0.445
0.214 0.445
0.213 0.446
0.213 0.446
0.213 0.446
0.213 0.446
0.213 0.446
0.213 0.446
0.212 0.446
0.213 0.445
0.213 0.445
0.213 0.445
0.213 0.445
0.213 0.445
0.212 0.445
0.213 0.445
0.213 0.445
