beta  ances 
0.247 0.465
0.257 0.455
0.260 0.447
0.257 0.448
0.255 0.444
0.255 0.447
0.255 0.448
0.257 0.446
0.257 0.444
0.256 0.446
0.255 0.447
0.255 0.447
0.255 0.445
0.255 0.445
0.254 0.446
0.254 0.444
0.255 0.444
0.253 0.443
0.253 0.443
0.253 0.445
0.254 0.444
0.254 0.444
0.254 0.444
0.253 0.444
0.253 0.444
0.253 0.445
0.252 0.445
0.252 0.445
0.252 0.445
0.253 0.445
0.252 0.445
0.253 0.445
0.253 0.445
0.253 0.445
0.253 0.445
0.253 0.445
0.253 0.445
0.252 0.445
0.252 0.445
0.252 0.445
0.252 0.445
0.252 0.445
0.252 0.445
0.252 0.445
0.251 0.445
0.251 0.445
0.251 0.445
0.251 0.445
0.251 0.445
