beta  ances 
0.246 0.592
0.238 0.584
0.234 0.580
0.235 0.585
0.235 0.584
0.237 0.585
0.241 0.583
0.242 0.583
0.240 0.581
0.240 0.581
0.239 0.582
0.240 0.581
0.242 0.581
0.241 0.580
0.241 0.580
0.242 0.580
0.241 0.580
0.241 0.580
0.241 0.581
0.240 0.581
0.240 0.582
0.240 0.581
0.241 0.582
0.240 0.581
0.240 0.582
0.240 0.581
0.240 0.581
0.240 0.582
0.240 0.582
0.239 0.582
0.239 0.582
0.239 0.582
0.239 0.582
0.240 0.583
0.239 0.583
0.239 0.583
0.239 0.583
0.238 0.583
0.239 0.583
0.239 0.583
0.239 0.583
0.239 0.583
0.238 0.584
0.239 0.584
0.238 0.584
0.238 0.584
0.238 0.584
0.238 0.583
0.238 0.584
