beta  ances 
0.202 0.593
0.200 0.594
0.199 0.592
0.199 0.592
0.200 0.590
0.200 0.589
0.199 0.588
0.200 0.588
0.199 0.587
0.199 0.587
0.199 0.587
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.587
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.198 0.588
0.198 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.199 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
0.198 0.588
