ID	Site	Polygon	Site_ID	St	At	RH	Slope	DEM	Aspect	Soil	MSI	NDVI	Bt
P5-Sg1	For	P5	P5For	24.2	16.8	42.51036	4.52019	2819	198.43495	1	0.74004	0.36725	24.2
P5-Sg2	For	P5	P5For	17.7	18.3	42.51209	0	2819	0	1	0.73595	0.27956	26.2
P5-Sg3	For	P5	P5For	26.6	22.9	42.50708	13.90027	2822	225	1	0.77509	0.43424	32.5
P5-Sg5	For	P5	P5For	26.3	23.6	42.5088	22.47997	2823	244.98311	1	0.78066	0.54795	31.2
P5-Sg6	For	P5	P5For	26.3	23.6	42.5088	22.47997	2823	244.98311	1	0.78066	0.54795	23.9
P5-Sg7	For	P5	P5For	26.3	23.6	42.5088	22.47997	2823	244.98311	1	0.78066	0.54795	30.6
P5-Sg10	For	P5	P5For	27	19	42.54927	5.88509	2759	14.03625	1	0.58	0.3947	32.2
P5-Sg11	For	P5	P5For	27	19	42.54927	5.88509	2759	14.03625	1	0.58	0.3947	29.2
P5-Sg12	For	P5	P5For	27	19	42.54927	5.88509	2759	14.03625	1	0.58	0.3947	32.5
P5-Sg13	For	P5	P5For	27	19	42.54927	5.88509	2759	14.03625	1	0.58	0.3947	31.2
P5-Sg14	For	P5	P5For	20.3	20.7	42.55218	9.87599	2762	68.96249	1	0.84189	0.41132	31.3
P5-Sg15	For	P5	P5For	20.3	20.7	42.55218	9.87599	2762	68.96249	1	0.84189	0.41132	32.9
P5-Sg16	For	P5	P5For	20.3	20.7	42.55218	9.87599	2762	68.96249	1	0.84189	0.41132	30.8
P5-Sg17	For	P5	P5For	20.3	20.7	42.55218	9.87599	2762	68.96249	1	0.84189	0.41132	25.6
P5-Sg18	For	P5	P5For	20.3	20.7	42.55218	9.87599	2762	68.96249	1	0.84189	0.41132	31.6
P5-O1	Agr	P5	P5Agr	27.5	21.9	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	33.2
P5-O2	Agr	P5	P5Agr	27.5	21.9	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	30.3
P5-O3	Agr	P5	P5Agr	28.9	21.6	34.2	8.98442	2868	71.56505	1	0.73116	0.55065	32.4
P5-O4	Agr	P5	P5Agr	39.5	30.8	38	0	2879	0	3	1.23258	0.16515	30.8
P5-O5	Agr	P5	P5Agr	24.6	25.4	36.8	3.64695	2879	11.30993	3	1.19197	0.22419	30.8
P5-O6	Agr	P5	P5Agr	24.6	25.4	36.8	3.64695	2879	11.30993	3	1.19197	0.22419	30.8
P5-O8	Agr	P5	P5Agr	19.3	18	35.5	2.26352	2883	71.56505	3	1.29479	0.32538	24.6
P5-O9	Agr	P5	P5Agr	21.9	21	37.9	2.26352	2890	108.43495	4	1.2563	0.44437	30.8
P5-O10	Agr	P5	P5Agr	19.6	19.6	36	7.05392	2883	45	1	0.86696	0.51008	34.6
P5-O11	Agr	P5	P5Agr	24.2	21.1	30.9	2.8624	2890	180	3	0.69883	0.4213	31.9
P5-O12	Agr	P5	P5Agr	24.2	21.1	30.5	3.03563	2890	225	4	0.83755	0.52762	26.8
P5-O13	Agr	P5	P5Agr	20	16.2	68.6	2.8624	2834	0	1	1.11159	0.4629	30.8
P5-O14	Agr	P5	P5Agr	24.9	19.1	48.3	3.03563	2806	135	3	1.03208	0.40904	30.6
P5-O15	Agr	P5	P5Agr	21.1	15.9	48.3	3.03563	2806	135	3	1.03208	0.40904	31.1
P5-O17	Agr	P5	P5Agr	34.2	26.2	33	32.64049	2814	72.97948	3	1.60076	0.18506	32.6
P6-Sg1	For	P6	P6For	20.3	14.2	50.02213	0	3342	0	1	0.6912	0.53464	33
P6-Sg2	For	P6	P6For	28.9	17.8	50.02213	0	3342	0	1	0.6912	0.53464	39.6
P6-Sg4	For	P6	P6For	29.8	25.2	50.01591	2.86224	3342	270	1	0.90409	0.62307	28.3
P6-Sg5	For	P6	P6For	22.6	18.3	50.01214	2.86224	3343	270	1	1.10276	0.42155	33.1
P6-Sg6	For	P6	P6For	16.3	15.6	49.99955	3.19956	3345	333.43494	3	1.11131	0.38387	32.9
P6-Sg7	For	P6	P6For	20.1	22.4	50.02908	2.86224	3345	270	1	0.82369	0.33084	30.5
P6-Sg8	For	P6	P6For	34.9	27	49.99311	5.71027	3347	270	3	1.19348	0.28475	32.6
P6-Sg9	For	P6	P6For	22.6	23.4	50.03482	5.43775	3344	293.19861	1	0.97779	0.38139	32.2
P6-Sg19	For	P6	P6For	24.3	28.3	50.02078	3.19956	3350	333.43494	3	1.02103	0.32421	34.5
P6-Sg20	For	P6	P6For	24.3	28.3	50.02078	3.19956	3350	333.43494	3	1.02103	0.32421	30.4
P6-Sg21	For	P6	P6For	24.3	28.3	50.02078	3.19956	3350	333.43494	3	1.02103	0.32421	30.4
P6-Sg47	For	P6	P6For	20	17.8	50.02213	0	3342	0	1	0.6912	0.53464	29.5
P6-Sg48	For	P6	P6For	20	17.1	50.02213	0	3342	0	1	0.6912	0.53464	31.8
P6-Sg49	For	P6	P6For	20	17.1	50.02213	0	3342	0	1	0.6912	0.53464	28
P6-Sg50	For	P6	P6For	20	17.1	50.02213	0	3342	0	1	0.6912	0.53464	30.4
P6-Sg58	For	P6	P6For	26.5	17.7	50.11695	13.79726	3358	104.74356	1	1.08977	0.38874	30.4
P6-Sg59	For	P6	P6For	26.5	17.7	50.11695	13.79726	3358	104.74356	1	1.08977	0.38874	28.8
P6-Sg60	For	P6	P6For	24.9	14	50.12033	15.34532	3368	120.06858	1	1.00883	0.46206	35
P6-Sg61	For	P6	P6For	24.9	14	50.12033	15.34532	3368	120.06858	1	1.00883	0.46206	30.4
P6-Sg72	For	P6	P6For	20.6	17.3	50.24272	10.21897	3391	123.69006	1	0.93132	0.53653	30.4
P6-Sg73	For	P6	P6For	26.9	21.9	50.24272	10.21897	3391	123.69006	1	0.93132	0.53653	30.4
P6-Sg77	For	P6	P6For	25.9	17.7	50.28434	12.01674	3392	40.23636	1	0.89826	0.3629	27.6
P6-Sg78	For	P6	P6For	20.9	17.7	50.28434	12.01674	3392	40.23636	1	0.89826	0.3629	34.6
P6-Sg79	For	P6	P6For	20.9	17.7	50.28434	12.01674	3392	40.23636	1	0.89826	0.3629	30.6
P6-I1	For	P6	P6For	20.5	17.1	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	30.7
P6-I2	For	P6	P6For	20.5	17.1	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	32
P6-I3	For	P6	P6For	26.3	25.5	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	32.2
P6-I4	For	P6	P6For	26.3	25.5	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	30.8
P6-I6	For	P6	P6For	18.7	16.4	42.4	19.28903	3410	90	1	0.93357	0.43179	31.7
P6-I11	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	31.3
P6-I12	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	21.6
P6-I13	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	30.2
P6-I14	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	30.4
P6-I15	For	P6	P6For	21.8	21.2	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	30.5
P6-I16	For	P6	P6For	19.2	15	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	29.2
P6-I17	For	P6	P6For	19.2	15	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	28.7
P6-I18	For	P6	P6For	21.9	17.9	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	31.6
P6-I27	For	P6	P6For	20.1	17.8	51.6	18.54174	3419	153.43495	1	0.76484	0.62042	26.2
P6-I28	For	P6	P6For	14.1	16.3	50.7	2.02481	3417	45	1	0.75759	0.48727	24.5
P6-I29	For	P6	P6For	24.5	20.5	50.30871	2.02481	3417	45	1	0.75759	0.48727	32.5
P6-I30	For	P6	P6For	20.3	17.8	49.1	12.01637	3425	86.63354	1	0.8716	0.51108	26.7
P6-I31	For	P6	P6For	20.3	17.8	49.1	12.01637	3425	86.63354	1	0.8716	0.51108	24.5
P6-I32	For	P6	P6For	20.3	17.8	49.1	12.01637	3425	86.63354	1	0.8716	0.51108	22.7
P6-I35	For	P6	P6For	21.7	18.8	47.81411	6.45759	3167	83.65981	1	0.55066	0.86031	30.4
P6-I37	For	P6	P6For	29.4	17.9	50.1	4.04457	3289	45	3	1.09858	0.47102	33
P6-O1	Agr	P6	P6Agr	20.3	16.5	46.4	0	2879	0	1	1.17233	0.65962	30.3
P6-O2	Agr	P6	P6Agr	22.2	22.5	43.2	3.19945	2879	296.56506	1	1.20653	0.35751	34.9
P6-O3	Agr	P6	P6Agr	21.9	19.2	37.7	8.53074	2879	0	1	0.86506	0.34315	30.2
P6-O4	Agr	P6	P6Agr	21.3	20.2	27.5	7.86093	2879	354.80557	1	0.86685	0.29416	29.3
P6-O5	Agr	P6	P6Agr	20.6	20.8	31.3	18.75624	2876	353.65979	3	0.85726	0.44802	35.1
P6-O6	Agr	P6	P6Agr	25.3	22.6	35.4	3.19945	2879	296.56506	1	1.20653	0.35751	33.5
