COVARIABLE  MRK     M_Beta       SD_Beta        PIP        BF(dB) 
1(St)	   2651   0.01185869   0.12176677   0.45900000  19.24250615	L2561
2(At)  	   2651   0.04613815   0.14631872   0.75800000  24.91489034
3(RH)      2651  -0.09016420   0.14937155   0.96100000  33.87293975
4(Slope)   2651  -0.01447942   0.12910620   0.59700000  21.66304480
5(DEM)     2651  -0.16877214   0.10479665   0.91600000  30.33251382
6(Aspect)  2651   0.00521689   0.14417258   0.64100000  22.47398776
7(Soil)    2651   0.01428471   0.13164641   0.68500000  23.33015212
8(MSI)     2651  -0.06277778   0.13807114   0.75800000  24.91489034
9(NDVI)    2651   0.02603479   0.09195976   0.32000000  16.68276260

COVARIABLE  MRK     M_Beta       SD_Beta        PIP        BF(dB) 
1          5747   0.03111772   0.11819703   0.48200000  19.64352473	L5747
2          5747  -0.01243812   0.14945953   0.73800000  24.45390265
3          5747   0.16761496   0.11642677   0.97600000  36.04873771
4          5747   0.10561039   0.12693847   0.71700000  23.99367915
5          5747   0.17057885   0.11244192   0.91200000  30.11147361
6          5747  -0.05115816   0.13877330   0.66500000  22.93412033
7          5747  -0.00763097   0.13054614   0.65800000  22.79834982
8          5747   0.10459784   0.13495390   0.82600000  26.72065994
9          5747  -0.12903416   0.12016588   0.61200000  21.93554891

COVARIABLE  MRK     M_Beta       SD_Beta        PIP        BF(dB)
1          7511  -0.04537272   0.11920378   0.49600000  19.88686335	L7511
2          7511  -0.07360486   0.14138703   0.76100000  24.98621950
3          7511   0.08528752   0.15407869   0.94900000  32.65331231
4          7511  -0.08002066   0.12139616   0.64800000  22.60667537
5          7511   0.19969813   0.09306640   0.93900000  31.82970952
6          7511   0.01016136   0.13506237   0.64600000  22.56864451
7          7511   0.04061989   0.12844280   0.68500000  23.33015212
8          7511   0.11509891   0.13434538   0.83600000  27.02997624
9          7511   0.01961902   0.07635093   0.23700000  14.87859003





